text,label
Call Germany for only number pence per minute! Call from a fixed line via access number number number number number No prepayment. Direct access!,0
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,1
Valentines Day Special! Win over currency number in our quiz and take your partner on the trip of a lifetime! Send GO to number now. number pmsg rcvd. CustCare: number,0
TaDaaaaa! I am home babe are you still up ?,1
Cool. So how come you havent been wined and dined before?,1
Just sleeping and surfing,1
Sorry Ill call later,1
U calling me right? Call my hand phone,1
Ok thats great thanx a lot.,1
I take it the post has come then! You must have number s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,1
Where u been hiding stranger?,1
Am not interested to do like that.,1
My sister cleared two round in birla soft yesterday.,1
Gudnite .tc practice going on,1
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,1
One small prestige problem now.,1
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to number Txts cost number per msg. TnCs on website. X,0
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,1
Nah cant help you there Ive never had an iphone,1
If youre not in my car in an hour and a half Im going apeshit,1
TODAY is Sorry day.! If ever i was angry with you if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz Its ur fault Im basically GOOD,1
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,1
ltgt ISH MINUTES WAS number MINUTES AGO. WTF.,1
Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh ex Tata AIG who joined TISSCOTayseer.,1
Congratulations ur awarded number of CD vouchers or number gift guaranteed Free entry number number wkly draw txt MUSIC to number TnCs www.Ldew.com number win number ppmx number age number,0
Ur cashbalance is currently number pounds to maximize ur cashin now send CASH to number only number pmsg. CC: number HGSuite number number Lands RowW number J number HL,0
Im an actor. When i work i work in the evening and sleep late. Since im unemployed at the moment i ALWAYS sleep late. When youre unemployed every day is saturday.,1
Hello! Just got here st andrewsboy its a long way! Its cold. I will keep you posted,1
Ha ha cool cool chikku chikku emoji :DB),1
Oh ok no prob,1
Check audreys status right now,1
Busy here. Trying to finish for new year. I am looking forward to finally meeting you,1
Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you my love As always,1
Well i know Z will take care of me. So no worries.,1
UpdateNow Xmas Offer! Latest Motorola SonyEricsson Nokia FREE Bluetooth! Double Mins number Txt on Orange. Call MobileUpd number on number or call number optoutF number Q,0
Here is your discount code RP number To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services number,0
Wat uniform? In where get?,1
Cool text me when youre ready,1
Hello my boytoy Geeee I miss you already and I just woke up. I wish you were here in bed with me cuddling me. I love you,1
I will spoil you in bed as well emoji,1
Im going for bath will msg you next ltgt min,1
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,1
Thanks for your Ringtone Order Reference T number You will be charged GBP number per week. You can unsubscribe at anytime by calling customer services on number,0
Can you say what happen,1
You could have seen me i didt recognise you Face. emoji,1
Well theres not a lot of things happening in Lindsay on New years sighs Some bars in Ptbo and the blue heron has something going,1
Keep my payasam there if rinu brings,1
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me,1
I guess thats why you re worried. You must know that theres a way the body repairs itself. And im quite sure you shouldnt worry. Well take it slow. First the tests they will guide when your ovulation is then just relax. Nothing youve said is a reason to worry but i.ll keep on followin you up.,1
Yeah sure give me a couple minutes to track down my wallet,1
Hey leave it. not a big deal emoji take care.,1
Hey i will be late ah Meet you at number,1
Double mins and txts number number months FREE Bluetooth on Orange. Available on Sony Nokia Motorola phones. Call MobileUpd number on number or call number optoutN number DX,0
It took Mr owl number licks,1
Customer place i will call you.,1
Mm that time you dont like fun,1
number mths half price Orange line rental latest camera phones number FREE. Had your phone number mths ? Call MobilesDirect free on number to update now! or number stoptxt,0
Yup having my lunch buffet now U eat already?,1
Huh so late Fr dinner?,1
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,1
Morning only i can ok.,1
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,1
Pick you up bout number ish? What time are and that going?,1
From here after The performance award is calculated every two month.not for current one month period,1
Was actually sleeping and still might when u call back. So a text is gr number You rock sis. Will send u a text wen i wake.,1
You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people ive ever met. Why would i think a picture of your room would hurt you make you feel violated.,1
Good evening Sir Al Salam Wahleykkum.sharing a happy news.By the grace of God i got an offer from TayseerTISSCO and i joined.Hope you are fine.Inshah Allahmeet you sometime.Rakheshvisitor from India.,1
Hmmm k but i want to change the field quickly da emoji i wanna get system administrator or network administrator,1
FREE RINGTONE text FIRST to number for a poly or text GET to number for a true tone! Help? number number number after number st free tones are number x currency number pw to e currency nd txt stop,0
Dear how is chechi. Did you talk to her,1
The hair cream has not been shipped.,1
None of thats happening til you get here though,1
Yep the great loxahatchee xmas tree burning of ltgt starts in an hour,1
Haha get used to driving to usf man I know a lot of stoners,1
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as cant stay late tomorrow. Same time place as always?,1
Hello! Good week? Fancy a drink or something later?,1
Headin towards busetop,1
Message:some text missing Sender:Name Missing Number Missing Sent:Date missing Missing U a lot thats y everything is missing sent via fullonsms.com,1
Come by our room at some point so we can iron out the plan for this weekend,1
Cos i want it to be your thing,1
Okies Ill go yan jiu too We can skip ard oso go cine den go mrt one blah blah blah,1
Bring home some Wendy D,1
number dating service call number box number sk number ch,0
Whatsup there. Dont u want to sleep,1
Alright i have a new goal now,1
FREE entry into our currency number weekly competition just text the word WIN to number NOW. number TC www.txttowin.co.uk,0
Alright Ill head out in a few minutes text me where to meet you,1
