childl6,childg6,age,huswage,WHRS
0,2,41,6.5934,910
0,1,51,4.3457,1840
0,0,53,7.2362,784
1,2,36,1.74,400
0,2,46,6.8966,1000
0,2,36,5.0455,1904
0,1,53,17.25,1771
0,3,40,8.3333,1486
0,2,42,9.375,740
1,1,33,8.279,1820
0,3,43,4.5,1275
1,0,31,4.1995,450
0,0,47,16.064,1221
0,0,54,11.277,1550
1,3,33,0.5494,180
0,0,43,9.548,2090
0,1,46,5.3333,1960
0,3,35,5.4545,1440
0,3,37,5.9026,794
0,2,37,9.8576,993
0,3,34,11.685,160
1,0,43,6.2278,105
0,0,46,9.1748,1200
0,3,35,6.2972,450
0,0,46,10.471,996
0,0,46,14.583,1052
0,2,43,6.2143,1128
0,0,30,6.6288,1840
0,2,41,3.8246,1910
0,1,54,7.8125,980
0,1,31,3.4806,2317
0,0,44,5.55,1089
0,1,32,11.594,800
0,0,47,9.5238,1230
0,1,46,7.2805,1158
0,0,37,3,2272
0,2,51,10.4,528
0,1,49,10.05,1000
0,4,36,8.7866,520
0,1,39,10.14,760
0,2,48,5,1920
0,2,38,11.888,1220
0,2,40,13.333,200
1,5,39,8.6806,2480
0,0,37,7.2917,2750
0,1,49,3.5242,2014
0,3,33,6.1818,1355
0,0,30,2.9755,80
0,0,54,4.5769,1670
0,4,39,3.1056,520
0,3,43,5.8228,288
0,3,31,7.5,2014
0,3,33,8.3333,800
0,3,40,9.2347,1984
0,1,36,5.5,1823
0,0,51,6,1500
0,1,44,6.6667,2261
0,3,42,13.061,1728
0,1,40,12.794,1960
1,1,34,12,1578
0,0,30,6.73,1316
0,0,54,6.679,1530
0,0,51,4.3945,2220
0,2,44,4.6875,1336
0,1,43,7.6989,1008
0,1,34,4.3287,1944
0,0,45,6.7416,2000
0,0,39,9.3525,258
0,0,50,9.1429,1785
0,0,52,2.6418,480
0,2,41,7.365,772
0,0,59,1.4066,900
0,0,52,1.5192,1428
0,0,46,3.3439,210
1,5,41,2.9106,239
0,2,33,4.3834,1878
0,0,45,4.2098,215
1,2,36,3.7129,2340
0,1,48,10.606,1960
0,1,47,8.6382,532
0,0,45,3.8367,394
0,2,37,7.1671,675
0,4,46,8.8634,1515
0,3,43,7.7369,1030
0,2,42,9.1702,1250
1,2,34,11.29,1158
0,0,52,6.3269,112
0,3,37,4.7468,336
0,1,37,4.8885,1984
0,0,52,2.4842,716
1,0,30,8.547,1410
0,1,31,6.6379,1300
0,1,38,3.1863,1640
0,3,43,4.5466,1202
0,1,49,12.789,489
0,0,55,6.528,2076
0,2,38,16.403,526
0,0,52,7,1721
0,0,48,13.542,1327
0,2,32,6.713,584
0,1,32,5.4487,1376
0,2,38,6.6872,1040
0,3,46,9.0943,548
0,3,40,6.5337,15
0,4,31,4.686,1980
0,1,43,8,1520
0,0,51,4.053,1880
1,0,30,8.1633,1260
0,0,52,16.5,1092
1,5,30,3.4615,1587
0,0,51,11.361,156
0,2,31,3.8911,1939
0,4,34,9.6059,1250
0,0,49,2.6687,610
1,3,35,8.8865,270
1,0,53,6.3636,660
0,3,32,17.728,1000
0,3,38,5.2923,1920
0,0,54,15.686,200
0,1,47,5.2423,1500
0,1,45,3.0395,868
0,1,47,16.745,2318
0,0,59,3.75,2000
0,1,32,5.814,60
0,1,45,10.833,1715
0,4,40,9.0029,550
0,2,47,6.54,1960
1,2,36,5.9783,44
0,0,56,8.6248,1920
0,1,41,4.8329,2540
0,3,48,10.909,156
1,2,36,3.8864,780
0,0,41,8.4574,3120
0,0,41,5,2040
0,3,36,7.4212,1610
0,3,37,4.4938,215
0,0,38,7.0252,1120
0,2,43,3.2788,846
0,0,54,1.2861,3225
0,1,38,5.5556,1376
1,0,30,7.4951,980
0,0,49,22.109,1838
0,1,45,9.058,1494
0,0,51,11.538,450
0,0,34,6.0468,1976
0,2,34,1.3653,2012
0,1,41,16.55,561
0,1,49,8.7719,1715
0,0,32,9.6354,1912
0,0,32,6.6788,3686
0,2,32,7.5727,1080
0,0,47,7.8125,1799
0,1,39,1.9835,1984
0,0,49,9.5238,1839
0,3,37,6.425,1579
0,0,59,10.984,96
0,0,50,12.766,1920
0,1,32,9.5545,1688
0,0,46,5.4967,1589
0,2,43,9.7618,345
0,3,37,5,1521
0,2,32,5.9995,1490
0,1,39,6.9149,989
0,2,34,4.9669,600
0,1,39,2.3896,2646
0,3,45,4.5122,2149
0,0,50,9.2308,320
0,1,40,11.458,1600
0,1,30,7.6993,2419
0,0,57,4.183,2005
0,1,39,8.3333,1960
0,0,53,5.1042,2147
0,1,48,8.2271,1207
0,1,46,5.6634,2000
0,0,47,5.222,1260
0,1,43,7.19,90
0,0,47,13.907,1800
0,1,47,6.0163,573
0,0,47,7.6782,1825
0,0,46,5.3112,75
0,4,34,4.1228,1348
0,0,48,7.8125,1880
0,1,30,4.6053,1240
0,1,51,3.9746,848
0,5,52,15.063,150
0,2,37,4.5064,2000
0,2,32,5.8824,1952
0,2,36,10.228,1456
0,2,35,6.5789,1740
0,0,45,8.8145,1400
0,0,56,2.9528,2000
0,2,40,4.5173,1750
1,2,45,5.1282,1101
0,2,32,4.1451,2000
0,0,45,8.7912,1877
0,2,40,7.3061,160
0,1,38,6.0069,1886
0,4,49,8.3333,1446
0,1,47,11.529,1500
0,0,52,6.6667,860
0,1,34,8.6806,1848
0,2,44,3.468,1678
0,3,36,3.0321,160
0,0,50,13.807,108
0,0,45,6.2174,1738
0,2,44,4.2308,1170
0,2,57,11.47,15
0,0,35,12.245,2088
0,0,46,9.2105,2490
2,1,30,6.3309,135
0,3,42,7.8039,1944
0,1,34,7.6754,690
0,2,45,15.582,608
1,2,35,9.6436,63
0,0,40,12.886,154
0,1,32,6.5511,420
0,0,54,8.25,651
0,3,38,1.3792,675
0,3,43,5.2632,1663
0,0,54,10.526,1680
0,3,39,10,180
0,1,37,12.548,1581
0,2,46,4.6207,1200
0,0,56,1.854,450
0,3,41,7.4266,547
0,1,45,13.298,300
0,1,44,26.578,975
0,1,50,13.959,1621
0,5,37,13.126,300
0,1,44,7.8883,1868
0,2,32,8.656,1803
1,1,34,3.4109,2143
0,2,32,4.6256,1080
0,3,37,4.2105,1352
0,1,44,4.2708,537
0,2,34,3.3424,352
1,3,33,8.6359,200
0,3,43,6.7581,2045
0,2,35,0.5843,1253
0,1,43,5.335,1960
0,0,34,4.7101,2000
0,3,36,4.9797,1960
0,2,41,2.9762,2000
0,0,41,12.744,1568
0,3,35,3.8462,1225
1,3,32,7.2233,780
0,0,30,8.8077,480
0,0,43,5.3864,1923
0,0,54,3.6846,2000
0,2,35,1.8437,2110
0,0,50,1.3013,1664
1,1,34,7.2222,48
0,0,52,7.3529,1791
0,3,35,11.864,1404
0,0,55,5.3327,1920
0,0,35,5.5,2141
0,1,49,7.2308,1720
2,2,38,7,3533
0,2,42,7.2137,2000
0,1,48,4.5,800
0,0,51,8.8632,3000
0,2,43,9.3333,293
0,1,43,3.8263,1872
0,1,38,5.4448,2058
0,1,44,8.7634,1832
1,3,36,8.4,120
0,0,38,5.102,1632
0,0,47,7.4101,778
0,2,34,5.3527,1984
1,2,40,19.562,225
0,1,31,5.0783,1960
0,0,46,0.5128,444
0,3,36,5.402,384
1,2,39,7.8646,1170
0,2,36,6.0531,1330
0,4,37,5,1350
0,4,39,7.6829,480
1,3,36,6.0386,1984
0,2,49,5.851,1944
1,1,45,6.7416,50
2,0,32,8.1081,460
0,5,36,5.3061,680
0,1,40,7.2709,2450
0,2,43,8.1776,2144
0,1,33,7.1006,1760
0,1,30,6.5844,490
0,1,49,7.8529,0
2,0,30,11.929,0
1,0,30,18,0
0,4,41,10.022,0
0,1,45,9.3333,0
0,5,43,6.085,0
0,1,42,5.7054,0
0,0,60,9.1185,0
0,0,57,7.2072,0
0,2,38,5.3146,0
0,0,56,8.2828,0
0,3,32,7.0578,0
0,1,49,6.1659,0
0,0,55,2.7,0
1,1,36,7.6628,0
0,3,44,1.8491,0
0,1,44,3.8462,0
1,2,35,9.0543,0
2,3,44,9.375,0
0,1,45,8.3333,0
1,0,34,9.3733,0
2,0,30,4.4818,0
0,1,39,5.3476,0
0,2,36,3.2027,0
0,2,38,12.801,0
0,0,53,6.9103,0
0,2,36,4.2293,0
1,1,32,4.4479,0
0,3,51,8.0523,0
0,0,38,7.5057,0
2,0,33,7.4747,0
0,0,54,6.3218,0
0,3,38,2.1354,0
2,2,30,4.2092,0
2,3,34,0.7595,0
0,1,34,4.8077,0
0,2,50,12.788,0
2,0,30,7.1429,0
0,2,38,15.152,0
0,0,54,7.9082,0
1,2,30,6.9728,0
0,0,55,4.9181,0
0,1,51,8.3112,0
0,1,44,7.1429,0
0,0,53,5.6889,0
0,2,42,7.0833,0
0,2,38,5.6922,0
1,3,38,11.4,0
1,4,41,1.4152,0
0,3,35,2.7507,0
1,2,33,6.6182,0
0,0,48,9.2725,0
0,0,47,12.287,0
0,5,34,2.8549,0
2,1,33,7.9709,0
3,1,31,19.444,0
0,0,58,1.4806,0
0,0,49,1.8918,0
0,1,55,6.9215,0
0,0,44,10.692,0
0,0,44,9.9474,0
0,3,36,19,0
0,3,38,7.4882,0
0,3,37,9.259,0
0,0,47,11.322,0
0,3,47,6.447,0
1,1,32,6.5778,0
1,2,43,6.1,0
1,4,42,4.2308,0
0,0,56,2.217,0
0,5,38,6.5189,0
0,2,52,6.4923,0
0,0,50,11.364,0
0,0,33,9.8765,0
0,2,44,7.6576,0
0,1,41,8.3017,0
0,1,45,14.114,0
0,0,53,16,0
0,0,53,11.291,0
0,1,42,2.3395,0
2,0,32,7.7994,0
0,0,56,6,0
1,3,37,6.6893,0
1,2,40,8.5366,0
0,3,54,13.83,0
0,0,53,1.48,0
0,1,48,8.5714,0
1,2,36,8.2299,0
0,0,57,8.3877,0
0,0,51,7.3651,0
0,4,33,3.4415,0
0,0,52,3.3537,0
0,0,56,2.9762,0
1,2,36,5.181,0
1,0,36,10.293,0
0,1,46,13.243,0
0,3,31,3.6458,0
0,0,52,10.407,0
0,2,46,8.2117,0
2,0,35,8.6735,0
0,0,59,8.3208,0
0,1,36,4.287,0
1,3,51,10.5,0
1,0,31,7.9787,0
0,2,31,11.814,0
1,1,32,6.1111,0
1,2,35,12.578,0
0,3,40,11.244,0
1,2,33,2.7408,0
0,0,54,4.4444,0
1,1,36,5.8267,0
0,1,50,2.3478,0
0,0,54,4.4755,0
0,1,48,8.4986,0
0,4,41,7.1825,0
0,4,50,10.87,0
0,2,46,7.1222,0
0,1,42,10.6592,0
1,2,31,3.2762,0
0,0,53,7.7521,0
0,1,51,11.945,0
0,1,47,4.6154,0
0,1,50,13.021,0
0,1,37,2.6667,0
2,2,30,8.8333,0
0,0,49,2.3669,0
0,2,52,5,0
0,2,47,7.4597,0
0,0,49,7.7519,0
0,4,44,5.4054,0
0,0,53,6.1239,0
1,0,30,8.3369,0
0,2,54,7.1277,0
1,1,47,6.1204,0
0,0,56,3.1111,0
0,1,49,12.161,0
0,0,48,5.3846,0
0,1,49,3.9838,0
0,1,56,7.4697,0
0,0,46,11.411,0
0,2,45,12.936,0
0,2,32,5.6122,0
1,1,43,6.8099,0
1,1,34,8.5066,0
1,1,30,5.508,0
2,0,38,7.2285,0
1,1,33,9.4545,0
0,0,52,8.9835,0
0,3,43,5.9846,0
1,1,33,3.9629,0
0,0,45,7.0575,0
2,1,36,7.1565,0
1,1,34,4.0145,0
0,2,37,3.8829,0
0,1,46,7.9787,0
0,0,47,5.0366,0
2,1,31,7.0769,0
0,0,57,3.6184,0
1,1,30,13.466,0
0,0,30,14.531,0
0,3,44,6.8,0
0,0,53,6.6667,0
0,0,51,5.9172,0
1,3,39,10.24,0
0,0,52,8.1566,0
0,4,46,6.6775,0
0,5,47,0.9615,0
0,2,52,16.907,0
0,2,45,13.57,0
0,0,60,8.9329,0
0,2,41,4.7372,0
0,3,39,8.5106,0
0,1,49,5.2511,0
1,1,32,21.786,0
1,3,33,7.9125,0
0,4,36,7.1083,0
3,3,37,5.0434,0
1,2,30,2.2442,0
1,1,44,8.5069,0
0,1,48,7.5758,0
0,4,40,5.8824,0
0,0,47,40.441,0
0,2,36,6.2339,0
0,2,40,9.2971,0
0,1,46,0.7038,0
0,0,52,2.5425,0
0,1,44,5.0833,0
0,1,45,7.6843,0
2,1,30,4.0625,0
1,3,40,6.5106,0
0,1,43,2.951,0
0,2,49,5.6738,0
1,4,46,12.766,0
0,0,52,6,0
1,1,31,9.2955,0
1,1,42,5.1324,0
0,3,33,9.0659,0
0,0,57,11.931,0
0,0,49,6.7164,0
0,1,45,4.5851,0
0,0,56,9.2567,0
1,3,41,8.5656,0
0,0,56,6.7407,0
0,1,48,9.8788,0
0,2,52,9.375,0
0,0,51,6.277,0
0,3,35,6.4241,0
0,0,45,8.3718,0
0,0,54,12.22,0
0,2,54,3.5612,0
1,0,31,8.867,0
0,3,53,1.8515,0
2,2,35,8.0769,0
1,3,36,8.9796,0
0,0,59,6.6618,0
0,0,54,11.107,0
1,1,37,14.077,0
0,0,44,0.4121,0
1,2,34,23.81,0
0,0,49,9.5745,0
0,0,49,1.9286,0
0,0,60,2.5783,0
0,0,51,7.2274,0
1,1,30,8.8,0
0,2,47,7.75,0
0,4,36,14.688,0
1,3,35,10.487,0
0,0,58,4.0253,0
1,3,41,11.765,0
0,1,51,9.5238,0
0,0,47,6.9079,0
1,2,45,5.151,0
0,0,60,20.496,0
1,1,30,13.555,0
0,0,55,14.796,0
1,2,32,1.6905,0
0,2,36,7.2296,0
0,0,55,4.1152,0
0,0,47,2.999,0
0,1,47,8.0492,0
0,1,37,8.577,0
0,2,50,9.3235,0
0,3,30,4.7059,0
0,1,48,9.1346,0
0,2,43,7.767,0
1,0,48,4.1269,0
1,2,41,10,0
0,0,50,4.0727,0
0,0,58,7.8529,0
0,5,38,7.8168,0
0,1,37,9.1667,0
0,0,50,29.644,0
0,4,42,4.0761,0
1,3,37,8.362,0
0,2,41,12.062,0
0,2,31,2.3251,0
0,0,51,10.01,0
1,2,36,5.2734,0
0,0,54,10.417,0
0,0,49,7.5,0
1,1,48,6.3521,0
0,2,42,3.8071,0
1,2,41,9.9099,0
0,0,55,2.6701,0
0,0,42,4.3956,0
0,1,32,7.971,0
0,2,43,15.429,0
1,3,33,1.9854,0
0,1,48,7.2562,0
0,2,43,7.0352,0
1,3,47,8.1347,0
0,0,54,11.981,0
0,1,51,5.9922,0
0,1,51,4.1458,0
1,1,43,8.5102,0
0,0,53,2.9631,0
1,1,34,8.8149,0
1,1,31,2.4955,0
0,0,56,4.8843,0
0,1,42,10.2,0
0,2,32,10,0
1,3,35,5.3571,0
1,1,30,9.7959,0
0,0,51,1.3741,0
0,3,47,3.463,0
0,1,54,5.0408,0
3,0,31,16.667,0
0,0,47,4.3294,0
0,3,47,10.193,0
0,3,40,7.5833,0
0,0,48,4.1204,0
0,7,34,4.8077,0
0,3,38,3.1531,0
1,3,32,19,0
0,1,48,6.0535,0
0,2,41,3.7875,0
0,2,49,2.9287,0
0,0,59,9.2972,0
0,0,58,9.3827,0
0,3,41,26.531,0
0,2,45,40.509,0
1,1,30,15.16,0
0,1,41,18.964,0
2,0,30,5.4152,0
0,1,53,1.9988,0
0,0,31,8,0
0,2,43,11.153,0
1,1,31,5.9524,0
0,0,51,2.1194,0
0,0,43,3.8384,0
1,2,31,17.361,0
0,0,48,8.0092,0
1,1,31,3,0
0,1,44,10.589,0
0,1,48,10.913,0
0,1,53,5.6033,0
0,3,42,7.9365,0
2,6,39,2.9476,0
1,2,32,2.0562,0
0,2,36,1.3013,0
0,2,40,9.2715,0
2,3,31,4.8638,0
0,0,43,1.0898,0
0,0,60,12.44,0
0,3,39,6.0897,0
