pirat,hirat,lvrat,unemp,chist,mhist,phist,selfemp,insurance,condomin,afam,single,hschool,deny
0.337999992,0.252999992,0.9,3.200000048,6,2,no,no,no,yes,yes,no,yes,no
0.281000004,0.271000004,0.4675,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.392299995,0.333800011,0.902255639,4.300000191,6,2,yes,no,no,yes,yes,yes,yes,yes
0.362999992,0.208999996,0.471380471,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.245799999,0.230799999,0.311111111,2,1,1,no,no,no,no,no,no,yes,no
0.382099991,0.330900002,0.797297297,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.32,0.28,0.65,2,1,1,no,no,no,no,no,no,yes,no
0.286000004,0.255,0.65,2,5,2,no,no,no,yes,yes,no,yes,no
0.266000004,0.21,0.555555556,1.799999952,2,1,no,no,no,no,no,yes,yes,no
0.315,0.287000008,0.901315789,3.200000048,1,1,no,no,no,no,yes,no,yes,no
0.304699993,0.238999996,0.47826087,3.599999905,1,2,no,no,no,no,yes,yes,yes,no
0.337999992,0.292000008,0.902857143,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.365999985,0.272999992,0.651785714,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.370999985,0.245,0.593220339,3.200000048,1,2,no,yes,no,yes,yes,no,yes,no
0.380999985,0.318999996,0.315581854,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.35,0.31,0.898550725,3.900000095,1,2,no,no,no,yes,yes,yes,yes,no
0.34,0.29,0.952380952,5.300000191,2,2,no,no,no,no,yes,no,yes,no
0.265200005,0.2125,0.891089109,3.599999905,6,2,no,no,no,no,no,no,yes,no
0.35,0.26,0.9,3.200000048,2,2,no,no,no,no,no,yes,yes,no
0.39,0.26,0.902255639,3.200000048,6,2,no,no,no,yes,yes,yes,yes,yes
0.39,0.24,0.779661017,4.300000191,2,2,no,yes,no,no,no,yes,yes,yes
0.3,0.17,0.402173913,3.099999905,1,1,no,no,no,no,no,no,yes,no
0.29,0.29,0.709090909,1.799999952,1,1,no,no,no,no,no,no,yes,no
0.35,0.34,0.80148423,3.599999905,1,2,no,no,no,yes,no,no,yes,no
0.39,0.27,0.833333333,2,1,1,no,no,no,no,no,yes,yes,no
0.36,0.28,0.903703704,3.900000095,6,2,no,no,no,no,yes,yes,yes,no
0.26,0.26,0.736111111,1.799999952,1,1,no,no,no,yes,no,yes,yes,no
0.36,0.23,0.7421875,3.200000048,1,1,no,no,no,yes,no,yes,yes,no
0.27,0.22,0.774011299,3.900000095,1,2,no,no,no,no,no,no,yes,no
0.357000008,0.2,0.8,3.099999905,5,2,no,no,no,yes,no,yes,yes,no
0.3,0.197000008,0.883495146,3.099999905,1,2,no,no,no,yes,yes,no,yes,no
0.39,0.29,0.905660377,2,1,2,no,no,no,yes,yes,no,yes,no
0.31,0.3,0.897959184,1.799999952,1,2,no,no,no,no,no,no,yes,no
0.43,0.21,0.5625,3.200000048,2,1,no,yes,no,yes,no,no,yes,yes
0.4,0.26,0.531468531,3.200000048,6,2,yes,no,yes,no,yes,no,yes,yes
0.34,0.23,0.883928571,3.099999905,6,2,no,no,no,no,yes,yes,yes,no
0.405999985,0.405999985,0.898305085,3.599999905,4,2,no,yes,no,no,no,no,yes,yes
0.23,0.13,0.338164251,3.599999905,1,2,no,no,no,no,no,no,yes,yes
0.73,0.37,0.456273764,3.200000048,1,1,no,yes,no,no,no,yes,yes,yes
0.38,0.35,0.577235772,2,1,2,no,no,no,yes,yes,yes,yes,no
0.382999992,0.360900002,0.608,3.099999905,1,2,no,no,no,yes,yes,yes,yes,no
0.32,0.221000004,0.897196262,10.60000038,1,2,no,no,no,yes,no,no,no,no
0.292999992,0.25,0.852173913,3.900000095,1,2,no,no,no,no,no,no,yes,no
0.240300007,0.235,0.256410256,1.799999952,1,2,no,no,no,yes,no,yes,yes,no
0.193999996,0.115,0.727777778,3.200000048,2,2,no,no,no,yes,no,yes,yes,no
0.293999996,0.258999996,0.573770492,1.799999952,6,2,no,no,no,yes,yes,yes,yes,no
0.382000008,0.268999996,0.608,3.200000048,2,2,no,no,no,yes,yes,yes,yes,no
0.379799995,0.279599991,0.608,3.200000048,6,2,no,yes,no,yes,yes,yes,yes,no
0.335900002,0.219400005,0.809859155,3.200000048,1,2,no,no,no,no,yes,no,yes,no
0.390299988,0.277199993,0.608,3.900000095,6,2,no,no,no,yes,yes,yes,yes,no
0.392799988,0.303799992,0.8,3.900000095,6,2,no,no,no,yes,yes,yes,yes,no
0.28,0.28,0.826086957,3.599999905,5,2,no,no,no,no,no,no,yes,no
0.31,0.26,0.896825397,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.384099998,0.209099998,0.8,3.599999905,1,2,no,yes,no,yes,no,yes,yes,no
0.334000015,0.286000004,0.889655172,3.900000095,1,2,no,no,no,no,yes,yes,yes,no
0.29,0.26,0.892473118,3.900000095,1,2,no,no,no,yes,yes,yes,yes,no
0.330900002,0.300499992,0.745762712,1.799999952,1,2,no,no,no,yes,no,yes,yes,no
0.336899986,0.321399994,0.933333333,2,1,2,no,no,no,no,yes,yes,yes,no
0.342299995,0.313999996,0.861244019,10.60000038,1,2,no,no,no,no,no,no,no,no
0.302700005,0.257700005,0.954545455,3.900000095,5,2,no,no,no,no,yes,yes,yes,yes
0.319099998,0.265200005,0.79245283,3.099999905,1,2,no,no,no,yes,no,no,yes,no
0.246299992,0.211000004,0.688073394,4.300000191,1,2,no,no,no,yes,no,no,yes,no
0.286000004,0.252700005,0.753488372,10.60000038,2,2,no,yes,no,no,no,no,yes,no
0.27,0.27,0.79787234,3.200000048,6,2,no,no,no,no,no,yes,yes,no
0.282000008,0.251200008,0.9,4.300000191,2,2,no,yes,no,no,no,yes,yes,no
0.324399986,0.291800003,0.564796905,1.799999952,1,1,no,yes,no,yes,no,yes,yes,no
0.347999992,0.188899994,0.737967914,3.900000095,2,2,no,yes,no,no,no,no,yes,no
0.296000004,0.296000004,0.479233227,1.799999952,4,2,no,no,no,yes,no,yes,yes,no
0.319799995,0.262700005,0.532258065,3.200000048,5,1,no,no,no,no,no,no,no,no
0.400099983,0.278799992,0.407843137,3.200000048,1,2,no,yes,no,no,no,yes,yes,no
0.276299992,0.254400005,0.748502994,2,2,2,no,no,no,no,no,no,yes,no
0.352400017,0.289899998,0.748091603,3.900000095,2,2,no,no,no,no,no,yes,yes,no
0.123800001,0.121800003,0.693069307,1.799999952,1,2,no,no,no,no,no,no,yes,no
0.34,0.27,1.908333333,3.099999905,1,2,no,no,no,yes,no,yes,yes,no
0.211599998,0.181800003,0.516129032,10.60000038,1,2,no,yes,no,no,no,no,yes,no
0.282600002,0.275200005,0.471177945,1.799999952,1,1,no,no,no,no,no,no,yes,no
0.288999996,0.284599991,0.740740741,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.3,0.25,0.771276596,10.60000038,5,1,no,no,no,no,no,no,yes,no
0.36,0.28,0.735930736,3.099999905,3,2,no,no,no,no,no,no,yes,no
0.32,0.27,0.564102564,3.900000095,1,1,no,no,no,no,no,no,yes,no
0.32,0.32,0.6875,3.200000048,1,1,no,no,no,no,no,no,yes,yes
0.26,0.2,0.735714286,3.200000048,5,1,no,no,no,no,no,no,yes,no
0.26,0.21,0.70754717,3.599999905,2,1,no,no,no,no,no,no,yes,no
0.32,0.26,0.794444444,1.799999952,2,1,no,yes,no,yes,no,yes,yes,yes
0.42,0.33,0.8,3.200000048,3,3,yes,no,no,no,yes,yes,yes,no
0.34,0.33,0.643410853,1.799999952,5,2,no,no,no,yes,no,yes,yes,no
0.37,0.34,0.87755102,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.29,0.28,0.592592593,2,1,2,no,no,no,no,no,yes,yes,no
0.35,0.31,0.72,1.799999952,1,2,no,no,no,no,no,yes,yes,no
0.4,0.27,0.8,4.300000191,1,2,no,no,no,yes,no,yes,yes,no
0.36,0.3,0.926315789,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.38,0.27,0.704545455,3.900000095,1,1,no,no,no,no,no,no,yes,no
0.37,0.26,0.577777778,2,1,1,no,no,no,no,no,no,yes,no
0.41,0.23,0.705660377,1.799999952,1,1,no,no,no,no,no,yes,yes,no
0.32,0.31,0.277777778,3.200000048,1,2,no,no,no,yes,no,yes,yes,no
0.33,0.26,0.946236559,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.33,0.26,0.817647059,10.60000038,1,2,no,no,no,no,no,no,yes,no
0.29,0.21,0.3125,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.37,0.11,0.340909091,3.200000048,6,1,no,yes,no,no,no,yes,yes,no
0.36,0.2,0.898809524,5.300000191,6,2,yes,no,no,no,no,yes,yes,no
0.37,0.3,0.764705882,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.3,0.3,0.529411765,5.300000191,1,1,no,no,no,no,no,yes,yes,no
0.34,0.34,0.811764706,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.42,0.26,0.75,3.200000048,2,2,no,yes,no,no,no,no,yes,no
0.2,0.08,0.111111111,3.200000048,1,1,no,no,no,yes,no,no,yes,no
0.3,0.29,0.533333333,3.099999905,2,1,no,no,no,no,no,no,yes,no
0.38,0.27,0.934375,3.200000048,2,1,no,no,no,no,no,no,yes,no
0.34,0.31,0.921212121,5.300000191,6,2,no,no,no,no,no,yes,yes,no
0.29,0.26,0.667857143,4.300000191,1,1,no,yes,no,no,no,no,yes,no
0.32,0.29,0.916666667,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.36,0.3,0.94375,3.200000048,2,2,no,no,no,no,no,no,yes,no
0.41,0.3,0.652173913,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.32,0.28,0.474452555,1.799999952,1,2,no,no,no,yes,no,yes,yes,no
0.38,0.31,0.824,10.60000038,1,2,no,no,no,no,yes,no,yes,no
0.2,0.04,0.485074627,3.599999905,3,1,no,no,no,yes,no,yes,yes,no
0.28,0.22,0.923076923,3.099999905,4,2,no,no,no,no,no,yes,yes,no
0.25,0.25,0.555555556,3.099999905,4,2,no,no,no,no,no,no,yes,no
0.29,0.28,0.575384615,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.49,0.37,0.915584416,3.200000048,2,1,no,no,no,no,no,yes,yes,yes
0.33,0.24,0.889473684,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.45,0.21,0.801587302,3.099999905,2,1,no,no,no,no,no,no,yes,no
0.41,0.35,0.922580645,4.300000191,1,2,no,no,yes,no,no,yes,yes,yes
0.35,0.28,0.838709677,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.35,0.3,0.350877193,3.900000095,2,3,no,no,no,no,no,no,yes,no
0.08,0.07,0.732984293,3.900000095,1,2,no,yes,no,no,no,no,yes,no
0.25,0.25,0.503703704,4.300000191,1,2,no,no,no,no,no,yes,yes,no
0.48,0.15,0.726666667,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.36,0.01,1.465116279,1.799999952,1,2,no,yes,no,yes,no,no,yes,no
0.32,0.31,0.84057971,10.60000038,1,2,no,no,no,no,no,no,yes,no
0.27,0.2,0.843881857,10.60000038,1,2,no,no,no,no,no,no,yes,no
0.34,0.27,0.793103448,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.33,0.3,0.784671533,3.200000048,6,2,yes,no,no,no,no,yes,yes,no
0.28,0.33,0.628571429,3.200000048,1,2,yes,no,no,no,no,no,yes,no
0.34,0.26,0.898876404,3.200000048,2,1,no,no,no,no,no,no,yes,no
0.37,0.36,0.756164384,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.3,0.26,0.734567901,3.200000048,4,2,no,no,no,no,no,yes,yes,no
0.36,0.33,0.68877551,1.799999952,1,2,no,no,no,no,no,no,yes,no
0.355099983,0.199799995,0.501432665,3.599999905,3,4,no,yes,no,no,no,no,yes,no
0.25,0.19,0.731428571,3.200000048,2,2,no,yes,no,no,no,yes,yes,no
0.14,0.13,0.34965035,1.799999952,4,1,no,no,no,no,no,no,yes,no
0.44,0.2,0.416666667,10.60000038,1,1,no,yes,no,yes,no,no,yes,no
0.45,0.3,1.148148148,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.37,0.26,0.802469136,10.60000038,1,2,no,yes,no,no,no,no,yes,no
0.34,0.3,0.797402597,4.300000191,1,1,no,no,no,no,no,no,yes,no
0.270400009,0.1675,0.786982249,3.099999905,3,3,no,no,no,yes,no,no,yes,no
0.23,0.23,0.635359116,5.300000191,2,2,no,no,no,no,no,no,yes,no
0.34,0.29,0.946564885,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.33,0.26,0.727891156,5.300000191,2,2,no,no,no,no,no,yes,yes,no
0.375,0.269699993,0.785714286,3.200000048,1,2,no,no,no,no,no,yes,yes,no
0.335699997,0.324599991,0.773684211,2,1,1,no,no,no,no,no,no,yes,no
0.277900009,0.00085,0.628571429,3.200000048,1,2,no,no,no,no,no,no,yes,no
0.41,0.12,0.488888889,3.599999905,1,1,no,no,no,no,no,no,yes,no
0.362900009,0.301499996,0.516666667,3.200000048,1,1,no,no,no,no,no,no,yes,no
0.308799992,0.225599995,0.782352941,3.099999905,1,2,no,no,no,no,no,no,yes,no
0.365999985,0.282000008,0.718518519,4.300000191,1,2,no,no,no,no,no,no,yes,no
0.314899998,0.257900009,0.875912409,4.300000191,1,2,no,no,no,no,no,yes,yes,no
0.275200005,0.203299999,0.80952381,3.599999905,1,1,no,no,no,yes,no,no,yes,no
0.35,0.2,0.503875969,5.300000191,3,1,no,no,no,no,no,no,yes,no
0.332700005,0.267700005,0.714285714,3.599999905,1,2,no,no,no,no,no,yes,yes,no
0.32,0.26,0.469483568,10.60000038,3,3,no,no,no,no,no,no,yes,no
0.264200001,0.258500004,0.783333333,3.200000048,1,1,no,no,yes,yes,no,no,yes,yes
0.339700012,0.178199997,0.5,10.60000038,2,1,no,no,no,no,no,no,yes,yes
0.339700012,0.178199997,0.5,10.60000038,2,1,no,no,no,no,no,no,yes,yes
0.360600014,0.280200005,0.718518519,3.599999905,1,2,no,no,no,no,no,no,yes,no
0.376800003,0.202000008,0.884057971,1.799999952,1,1,no,yes,no,no,no,no,yes,no
0.301000004,0.277999992,0.861538462,3.200000048,2,2,no,no,no,no,yes,no,yes,no
0.54,0.54,0.75,3.200000048,4,2,no,no,no,no,no,yes,yes,no
