WomenEduc,WomenExp,WomenAge,childl6,WHRS
16,11,48,0,1720
12,9,42,0,800
13,6,33,0,360
11,19,46,0,2000
12,26,47,0,1176
12,19,44,0,2058
12,3,36,0,900
17,7,31,2,215
14,28,55,0,2000
16,13,45,0,757
17,9,47,0,1264
12,15,46,0,2064
11,20,49,0,1280
12,29,49,0,1715
12,9,45,0,2000
17,1,38,1,12
10,8,47,0,1528
13,19,54,0,561
11,23,41,0,2058
12,3,43,0,1823
16,13,31,1,1680
17,8,47,0,1440
12,17,35,0,4950
16,4,45,0,1176
12,15,33,1,1100
16,11,54,0,1516
8,7,35,0,900
12,0,31,1,1080
12,0,55,0,480
12,10,34,0,288
13,8,38,0,1875
11,2,45,0,630
12,4,47,0,234
12,6,39,0,1600
14,18,36,1,960
12,3,33,1,120
12,22,50,0,2025
12,33,58,0,1809
17,28,49,0,3087
14,23,41,0,910
12,27,51,0,1840
9,11,53,0,784
12,6,36,1,400
12,11,46,0,1000
12,14,36,0,1904
14,17,53,0,1771
16,17,40,0,1486
17,14,42,0,740
15,11,33,1,1820
12,7,43,0,1275
16,8,31,1,450
17,6,47,0,1221
17,8,54,0,1550
12,4,33,1,180
16,25,43,0,2090
13,24,46,0,1960
12,11,35,0,1440
11,19,37,0,794
16,9,37,0,993
14,19,34,0,160
16,14,43,1,105
12,22,46,0,1200
9,6,35,0,450
17,23,46,0,996
14,15,46,0,1052
12,6,43,0,1128
12,11,30,0,1840
11,2,41,0,1910
12,22,54,0,980
12,10,31,0,2317
10,14,44,0,1089
12,12,32,0,800
5,9,47,0,1230
17,13,46,0,1158
11,18,37,0,2272
12,8,51,0,528
12,11,49,0,1000
14,9,36,0,520
11,9,39,0,760
12,14,48,0,1920
14,9,38,0,1220
12,2,40,0,200
10,12,39,1,2480
16,15,37,0,2750
13,11,49,0,2014
12,7,33,0,1355
12,9,30,0,80
12,19,54,0,1670
11,11,39,0,520
12,8,43,0,288
9,13,31,0,2014
13,4,33,0,800
12,7,40,0,1984
12,19,36,0,1823
12,14,51,0,1500
13,14,44,0,2261
16,3,42,0,1728
12,9,40,0,1960
16,7,34,1,1578
17,7,30,0,1316
12,14,54,0,1530
12,29,51,0,2220
9,19,44,0,1336
12,14,43,0,1008
12,16,34,0,1944
13,10,45,0,2000
12,12,39,0,258
12,24,50,0,1785
12,6,52,0,480
12,9,41,0,772
10,14,59,0,900
12,26,52,0,1428
16,7,46,0,210
12,4,41,1,239
11,15,33,0,1878
12,23,45,0,215
10,1,36,1,2340
12,29,48,0,1960
12,9,47,0,532
12,6,45,0,394
12,11,37,0,675
16,17,46,0,1515
17,6,43,0,1030
12,7,42,0,1250
17,2,34,1,1158
12,24,52,0,112
12,4,37,0,336
12,11,37,0,1984
8,25,52,0,716
12,11,30,1,1410
13,2,31,0,1300
12,19,38,0,1640
12,7,43,0,1202
8,2,49,0,489
12,20,55,0,2076
17,10,38,0,526
17,19,52,0,1721
12,17,48,0,1327
13,12,32,0,584
12,11,32,0,1376
12,6,38,0,1040
12,10,46,0,548
12,4,40,0,15
9,2,31,0,1980
10,13,43,0,1520
12,21,51,0,1880
16,9,30,1,1260
13,4,52,0,1092
8,2,30,1,1587
16,19,51,0,156
13,4,31,0,1939
12,9,34,0,1250
11,14,49,0,610
13,6,35,1,270
12,24,53,1,660
12,1,32,0,1000
10,13,38,0,1920
12,3,54,0,200
17,10,47,0,1500
15,16,45,0,868
16,9,47,0,2318
10,19,59,0,2000
11,4,32,0,60
12,10,45,0,1715
12,5,40,0,550
14,7,47,0,1960
16,3,36,1,44
14,38,56,0,1920
8,16,41,0,2540
7,13,48,0,156
12,1,36,1,780
12,7,41,0,3120
14,15,41,0,2040
12,10,36,0,1610
12,2,37,0,215
12,19,38,0,1120
14,25,43,0,846
16,25,54,0,3225
12,7,38,0,1376
12,15,30,1,980
12,11,49,0,1838
13,25,45,0,1494
13,19,51,0,450
10,4,34,0,1976
12,14,34,0,2012
12,19,41,0,561
12,18,49,0,1715
12,14,32,0,1912
14,11,32,0,3686
17,4,32,0,1080
10,29,47,0,1799
9,21,39,0,1984
12,24,49,0,1839
12,19,37,0,1579
16,31,59,0,96
12,28,50,0,1920
17,15,32,0,1688
12,27,46,0,1589
17,13,43,0,345
11,4,37,0,1521
16,10,32,0,1490
11,8,39,0,989
13,4,34,0,600
11,18,39,0,2646
8,3,45,0,2149
11,11,50,0,320
12,8,40,0,1600
10,10,30,0,2419
17,33,57,0,2005
12,19,39,0,1960
12,35,53,0,2147
17,21,48,0,1207
14,7,46,0,2000
12,18,47,0,1260
12,4,43,0,90
12,12,47,0,1800
12,16,47,0,573
12,14,47,0,1825
12,3,46,0,75
9,1,34,0,1348
10,27,48,0,1880
12,12,30,0,1240
12,6,51,0,848
12,9,52,0,150
12,2,37,0,2000
12,6,32,0,1952
17,9,36,0,1456
12,16,35,0,1740
17,22,45,0,1400
12,26,56,0,2000
10,11,40,0,1750
12,11,45,1,1101
12,15,32,0,2000
12,13,45,0,1877
12,6,40,0,160
12,20,38,0,1886
12,17,49,0,1446
16,8,47,0,1500
13,13,52,0,860
13,15,34,0,1848
12,14,44,0,1678
16,14,36,0,160
17,6,50,0,108
12,24,45,0,1738
14,10,44,0,1170
12,2,57,0,15
17,9,35,0,2088
12,23,46,0,2490
14,12,30,2,135
12,8,42,0,1944
12,16,34,0,690
17,10,45,0,608
16,7,35,1,63
16,19,40,0,154
12,2,32,0,420
9,9,54,0,651
12,14,38,0,675
12,9,43,0,1663
16,16,54,0,1680
14,7,39,0,180
12,6,37,0,1581
12,22,46,0,1200
11,9,56,0,450
12,9,41,0,547
16,14,45,0,300
17,17,44,0,975
17,12,50,0,1621
14,13,37,0,300
12,8,44,0,1868
14,10,32,0,1803
12,16,34,1,2143
10,1,32,0,1080
12,6,37,0,1352
13,4,44,0,537
16,8,34,0,352
12,4,33,1,200
7,15,43,0,2045
16,7,35,0,1253
14,14,43,0,1960
12,16,34,0,2000
10,15,36,0,1960
12,23,41,0,2000
16,19,41,0,1568
10,4,35,0,1225
12,12,32,1,780
14,12,30,0,480
12,25,43,0,1923
6,14,54,0,2000
15,14,35,0,2110
12,11,50,0,1664
17,7,34,1,48
14,18,52,0,1791
13,4,35,0,1404
6,37,55,0,1920
16,13,35,0,2141
14,14,49,0,1720
15,17,38,2,3533
14,5,42,0,2000
8,2,48,0,800
14,0,51,0,3000
12,3,43,0,293
12,21,43,0,1872
12,20,38,0,2058
12,19,44,0,1832
12,4,36,1,120
12,19,38,0,1632
8,11,47,0,778
12,14,34,0,1984
17,8,40,1,225
12,13,31,0,1960
12,24,46,0,444
14,1,36,0,384
13,1,39,1,1170
17,3,36,0,1330
8,4,37,0,1350
12,21,39,0,480
11,10,36,1,1984
12,13,49,0,1944
12,9,45,1,50
17,14,32,2,460
10,2,36,0,680
12,21,40,0,2450
13,22,43,0,2144
12,14,33,0,1760
12,7,30,0,490
12,2,49,0,0
16,5,30,2,0
12,12,30,1,0
12,1,41,0,0
12,12,45,0,0
12,4,43,0,0
13,9,42,0,0
12,9,60,0,0
12,6,57,0,0
10,5,38,0,0
12,5,56,0,0
12,8,32,0,0
7,2,49,0,0
12,6,55,0,0
9,0,36,1,0
12,3,44,0,0
10,7,44,0,0
14,3,35,1,0
14,10,44,2,0
12,3,45,0,0
12,2,34,1,0
17,12,30,2,0
8,15,39,0,0
12,5,36,0,0
17,4,38,0,0
12,10,53,0,0
12,1,36,0,0
12,8,32,1,0
9,20,51,0,0
11,4,38,0,0
12,7,33,2,0
12,10,54,0,0
9,3,38,0,0
11,5,30,2,0
12,10,34,2,0
9,0,34,0,0
12,3,50,0,0
17,10,30,2,0
12,2,38,0,0
14,10,54,0,0
12,4,30,1,0
12,0,55,0,0
10,10,51,0,0
12,5,44,0,0
12,0,53,0,0
10,0,42,0,0
12,19,38,0,0
13,2,38,1,0
12,12,41,1,0
8,5,35,0,0
12,5,33,1,0
13,5,48,0,0
12,10,47,0,0
12,0,34,0,0
13,4,33,2,0
13,3,31,3,0
8,2,58,0,0
12,1,49,0,0
8,0,55,0,0
14,1,44,0,0
9,1,44,0,0
16,6,36,0,0
12,12,38,0,0
16,6,37,0,0
12,9,47,0,0
12,14,47,0,0
12,13,32,1,0
12,8,43,1,0
11,0,42,1,0
12,1,56,0,0
13,3,38,0,0
12,13,52,0,0
12,3,50,0,0
16,8,33,0,0
16,8,44,0,0
12,18,41,0,0
12,2,45,0,0
14,3,53,0,0
14,5,53,0,0
12,2,42,0,0
13,10,32,2,0
12,30,56,0,0
11,1,37,1,0
12,5,40,1,0
15,8,54,0,0
7,0,53,0,0
12,4,48,0,0
12,2,36,1,0
12,30,57,0,0
12,25,51,0,0
13,3,33,0,0
12,20,52,0,0
10,20,56,0,0
12,0,36,1,0
14,15,36,1,0
12,10,46,0,0
10,4,31,0,0
11,3,52,0,0
12,10,46,0,0
12,9,35,2,0
12,7,59,0,0
8,12,36,0,0
7,0,51,1,0
16,16,31,1,0
14,4,31,0,0
12,7,32,1,0
16,7,35,1,0
12,14,40,0,0
10,2,33,1,0
7,20,54,0,0
12,5,36,1,0
10,10,50,0,0
8,20,54,0,0
11,10,48,0,0
15,8,41,0,0
12,11,50,0,0
12,3,46,0,0
13,6,42,0,0
9,4,31,1,0
12,4,53,0,0
12,9,51,0,0
12,10,47,0,0
12,3,50,0,0
6,2,37,0,0
12,2,30,2,0
12,0,49,0,0
12,8,52,0,0
12,6,47,0,0
12,15,49,0,0
12,15,44,0,0
8,9,53,0,0
12,8,30,1,0
12,18,54,0,0
7,3,47,1,0
15,10,56,0,0
12,6,49,0,0
6,20,48,0,0
12,8,49,0,0
12,3,56,0,0
12,4,46,0,0
12,13,45,0,0
12,4,32,0,0
12,17,43,1,0
12,4,34,1,0
12,0,30,1,0
17,15,38,2,0
16,11,33,1,0
12,23,52,0,0
11,1,43,0,0
12,5,33,1,0
10,1,45,0,0
10,5,36,2,0
12,3,34,1,0
14,3,37,0,0
10,19,46,0,0
12,20,47,0,0
16,5,31,2,0
5,0,57,0,0
12,3,30,1,0
12,3,30,0,0
12,7,44,0,0
13,7,53,0,0
8,1,51,0,0
12,13,39,1,0
8,0,52,0,0
8,0,46,0,0
12,12,47,0,0
8,0,52,0,0
12,5,45,0,0
11,45,60,0,0
13,10,41,0,0
8,2,39,0,0
12,3,49,0,0
15,1,32,1,0
12,5,33,1,0
10,10,36,0,0
13,4,37,3,0
12,7,30,1,0
11,9,44,1,0
12,5,48,0,0
11,4,40,0,0
13,11,47,0,0
12,9,36,0,0
11,4,40,0,0
12,2,46,0,0
12,23,52,0,0
12,3,44,0,0
10,15,45,0,0
7,8,30,2,0
12,3,40,1,0
12,25,43,0,0
12,2,49,0,0
12,0,46,1,0
11,19,52,0,0
12,3,31,1,0
10,7,42,1,0
11,1,33,0,0
16,9,57,0,0
10,3,49,0,0
14,8,45,0,0
11,0,56,0,0
12,5,41,1,0
5,20,56,0,0
10,3,48,0,0
16,12,52,0,0
12,5,51,0,0
11,1,35,0,0
12,0,45,0,0
12,7,54,0,0
12,13,54,0,0
12,3,31,1,0
6,0,53,0,0
14,2,35,2,0
12,0,36,1,0
12,2,59,0,0
16,1,54,0,0
12,10,37,1,0
12,10,44,0,0
17,1,34,1,0
12,3,49,0,0
12,32,49,0,0
9,0,60,0,0
12,7,51,0,0
12,5,30,1,0
12,2,47,0,0
12,5,36,0,0
12,3,35,1,0
12,25,58,0,0
14,0,41,1,0
10,3,51,0,0
12,10,47,0,0
9,10,45,1,0
14,7,60,0,0
16,5,30,1,0
11,15,55,0,0
12,1,32,1,0
12,5,36,0,0
12,9,55,0,0
12,18,47,0,0
12,1,47,0,0
11,0,37,0,0
12,6,50,0,0
12,1,30,0,0
17,2,48,0,0
10,15,43,0,0
11,25,48,1,0
14,1,41,1,0
12,0,50,0,0
8,0,58,0,0
13,0,38,0,0
12,8,37,0,0
16,22,50,0,0
8,5,42,0,0
9,10,37,1,0
16,1,41,0,0
12,1,31,0,0
12,6,51,0,0
12,4,36,1,0
15,6,54,0,0
12,0,49,0,0
9,1,48,1,0
9,3,42,0,0
12,15,41,1,0
16,33,55,0,0
9,2,42,0,0
15,1,32,0,0
12,10,43,0,0
12,0,33,1,0
15,14,48,0,0
12,15,43,0,0
17,15,47,1,0
12,10,54,0,0
12,6,51,0,0
10,18,51,0,0
13,15,43,1,0
12,30,53,0,0
11,15,34,1,0
8,10,31,1,0
12,0,56,0,0
16,0,42,0,0
12,4,32,0,0
12,0,35,1,0
12,3,30,1,0
10,20,51,0,0
12,3,47,0,0
12,1,54,0,0
15,5,31,3,0
10,7,47,0,0
14,6,47,0,0
12,2,40,0,0
8,0,48,0,0
8,10,34,0,0
12,6,38,0,0
12,4,32,1,0
16,8,48,0,0
12,18,41,0,0
5,7,49,0,0
8,15,59,0,0
13,7,58,0,0
12,8,41,0,0
12,8,45,0,0
14,3,30,1,0
12,10,41,0,0
12,9,30,2,0
12,24,53,0,0
12,12,31,0,0
14,2,43,0,0
12,6,31,1,0
12,18,51,0,0
9,17,43,0,0
14,7,31,1,0
11,6,48,0,0
12,10,31,1,0
12,5,44,0,0
11,7,48,0,0
12,11,53,0,0
10,14,42,0,0
12,5,39,2,0
10,2,32,1,0
12,4,36,0,0
13,5,40,0,0
12,14,31,2,0
12,4,43,0,0
12,15,60,0,0
9,12,39,0,0
