Public Opinion,Past Use,Religion,Sex,Age,Education,Race,Income,Party Affiliation,Household Size,State,Eventually Legalized
medicinal,Yes,Christian (VOL.),Female,66,Some College,White,"30 to under $40,000",Republican,3,Alabama,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,77,Less than HS,White,"10 to under $20,000",Independent,1,Texas,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,33,Postgraduate Degree,White,"$150,000 or more",Democrat,3,New Jersey,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,55,Postgraduate Degree,White,"75 to under $100,000",Independent,3,Georgia,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,85,HS,White,"20 to under $30,000",Republican,1,Wisconsin,"No, it will not"
personal,Yes,Christian (VOL.),Male,37,Some College,White,"10 to under $20,000",Independent,1,Oklahoma,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,60,Associate Degree,White,"75 to under $100,000",Democrat,1,Pennsylvania,"No, it will not"
medicinal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,82,HS,White,"20 to under $30,000",Democrat,3,Kentucky,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,76,HS Incomplete,White,"Less than $10,000",Democrat,1,Texas,"Yes, it will"
notlegal,No,Nothing in particular,Male,49,HS,White,"10 to under $20,000",Democrat,1,Pennsylvania,"Yes, it will"
personal,No,Jewish (Judaism),Female,53,Some College,White,"$150,000 or more",Democrat,1,Maryland,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,52,HS Incomplete,White,"20 to under $30,000",Democrat,2,Minnesota,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,70,Some College,White,"75 to under $100,000",Republican,2,New York,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,30,Some College,White,"20 to under $30,000",Democrat,2,Arizona,"No, it will not"
personal,Yes,Nothing in particular,Male,62,Some College,White,"50 to under $75,000",Independent,1,New York,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,18,HS,White,"100 to under $150,000",Democrat,4,New York,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Female,75,HS,White,"30 to under $40,000",Independent,1,Colorado,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,44,HS,White,"20 to under $30,000",Democrat,5,Missouri,"No, it will not"
personal,Yes,Nothing in particular,Male,44,HS,White,"30 to under $40,000",Independent,1,Alabama,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,72,Associate Degree,White,"50 to under $75,000",Independent,2,Idaho,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Female,50,Postgraduate Degree,White,"$150,000 or more",Democrat,4,District of Columbia,"Yes, it will"
notlegal,Yes,Christian (VOL.),Male,68,HS,White,"30 to under $40,000",Independent,2,Colorado,"No, it will not"
personal,No,Roman Catholic (Catholic),Female,68,Some College,White,"10 to under $20,000",Democrat,1,Arizona,"Yes, it will"
medicinal,No,Nothing in particular,Male,37,Associate Degree,White,"40 to under $50,000",Democrat,2,Utah,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,77,Postgraduate Degree,White,"75 to under $100,000",Independent,1,Illinois,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,57,Four year college,White,"100 to under $150,000",Democrat,3,California,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,72,Four year college,White,"30 to under $40,000",Democrat,1,California,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,46,Some Postgraduate,White,"50 to under $75,000",Democrat,3,Washington,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,35,Postgraduate Degree,White,"$150,000 or more",Independent,1,Vermont,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,63,HS Incomplete,White,"40 to under $50,000",Democrat,2,New York,"Yes, it will"
personal,Yes,Nothing in particular,Male,26,Four year college,White,"75 to under $100,000",Independent,3,Virginia,"No, it will not"
medicinal,Yes,Roman Catholic (Catholic),Male,40,Some College,Hispanic or Latino,"Less than $10,000",Republican,5,California,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,55,Four year college,Asian or Asian-American,"40 to under $50,000",Independent,2,California,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,54,Postgraduate Degree,White,"75 to under $100,000",Independent,4,Indiana,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,44,HS,Hispanic or Latino,"40 to under $50,000",Democrat,7,Texas,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,55,Four year college,White,"$150,000 or more",Democrat,4,Illinois,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,80,HS,White,"10 to under $20,000",Republican,1,Pennsylvania,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Female,62,Four year college,White,"Less than $10,000",Democrat,1,California,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,82,Some College,White,"10 to under $20,000",Independent,2,Wisconsin,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,72,HS,White,"40 to under $50,000",Democrat,1,Texas,"Yes, it will"
personal,No,Nothing in particular,Male,68,Postgraduate Degree,White,"100 to under $150,000",Democrat,2,Wisconsin,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Female,61,HS,White,"10 to under $20,000",Democrat,1,Oregon,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,55,Some College,Black or African-American,"10 to under $20,000",Democrat,1,Arkansas,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,51,HS Incomplete,White,"10 to under $20,000",Independent,5,Nevada,"Yes, it will"
personal,Yes,Nothing in particular,Male,62,Some College,White,"100 to under $150,000",Independent,2,Washington,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,59,HS,White,"50 to under $75,000",Republican,3,Washington,"Yes, it will"
medicinal,No,Nothing in particular,Female,57,Associate Degree,Asian or Asian-American,"Less than $10,000",Independent,4,California,"Yes, it will"
medicinal,No,Hindu,Female,34,Postgraduate Degree,Asian or Asian-American,"100 to under $150,000",Democrat,4,Oregon,"Yes, it will"
personal,Yes,Christian (VOL.),Male,41,HS,White,"40 to under $50,000",Independent,3,California,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,83,Some College,White,"30 to under $40,000",Republican,2,Washington,"Yes, it will"
personal,Yes,Christian (VOL.),Male,45,Associate Degree,White,"50 to under $75,000",Independent,4,Washington,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,43,HS,White,"50 to under $75,000",No preference (VOL.),4,California,"Yes, it will"
personal,Yes,Buddhist,Female,61,Four year college,White,"100 to under $150,000",Independent,2,Hawaii,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,54,Four year college,Asian or Asian-American,"75 to under $100,000",Democrat,3,Hawaii,"Yes, it will"
personal,No,Nothing in particular,Male,82,Four year college,Asian or Asian-American,"75 to under $100,000",Democrat,3,Hawaii,"Yes, it will"
personal,Yes,Nothing in particular,Male,69,Postgraduate Degree,White,"$150,000 or more",Independent,1,Hawaii,"Yes, it will"
personal,No,Atheist (do not believe in God),Female,36,Four year college,White,"50 to under $75,000",Independent,3,New York,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,66,Associate Degree,White,"40 to under $50,000",Republican,2,Massachusetts,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,86,HS,Black or African-American,"Less than $10,000",Democrat,1,North Carolina,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Male,64,Some College,White,"50 to under $75,000",Independent,4,Ohio,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,58,HS,White,"100 to under $150,000",Republican,3,Alabama,"No, it will not"
personal,Yes,Nothing in particular,Male,45,Some College,Black or African-American,"75 to under $100,000",Democrat,4,Illinois,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,52,Postgraduate Degree,White,"$150,000 or more",Republican,5,Minnesota,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Female,52,HS,White,"50 to under $75,000",Republican,4,Kansas,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,85,HS,White,"20 to under $30,000",Democrat,1,Virginia,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Female,60,HS,White,"10 to under $20,000",Democrat,2,Massachusetts,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,57,Postgraduate Degree,White,"50 to under $75,000",Democrat,1,Alabama,"No, it will not"
personal,No,Roman Catholic (Catholic),Female,66,Postgraduate Degree,White,"75 to under $100,000",Independent,2,Alabama,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,52,Postgraduate Degree,White,"50 to under $75,000",Republican,3,Mississippi,"Yes, it will"
notlegal,Yes,Nothing in particular,Male,61,Postgraduate Degree,White,"75 to under $100,000",Independent,1,Connecticut,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,68,HS,White,"10 to under $20,000",Democrat,1,Iowa,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,78,HS,White,"10 to under $20,000",No preference (VOL.),1,Pennsylvania,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,50,Four year college,White,"100 to under $150,000",Independent,2,Iowa,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,67,HS,White,"10 to under $20,000",Democrat,2,Oklahoma,"Yes, it will"
medicinal,No,Nothing in particular,Female,60,HS,White,"40 to under $50,000",Democrat,2,New Mexico,"Yes, it will"
notlegal,No,Nothing in particular,Male,71,Postgraduate Degree,White,"100 to under $150,000",Democrat,2,South Dakota,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,69,HS,White,"30 to under $40,000",Democrat,2,Illinois,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,70,Four year college,White,"10 to under $20,000",No preference (VOL.),1,New Mexico,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,72,HS,White,"10 to under $20,000",Republican,1,Kentucky,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,54,Postgraduate Degree,White,"50 to under $75,000",Independent,4,Minnesota,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,63,HS,White,"$150,000 or more",Independent,2,Colorado,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,60,Some Postgraduate,White,"75 to under $100,000",Republican,2,Idaho,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Male,23,Some College,White,"100 to under $150,000",Independent,3,South Dakota,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,33,Four year college,White,"50 to under $75,000",Republican,4,South Dakota,"Yes, it will"
medicinal,No,Christian (VOL.),Female,61,Four year college,White,"75 to under $100,000",Republican,2,Texas,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,64,Some College,White,"20 to under $30,000",Democrat,2,Tennessee,"Yes, it will"
notlegal,No,Christian (VOL.),Male,71,Associate Degree,White,"50 to under $75,000",Independent,2,Michigan,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,65,HS,White,"30 to under $40,000",Independent,2,Massachusetts,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,64,HS,Black or African-American,"10 to under $20,000",Democrat,1,Tennessee,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,73,Four year college,White,"50 to under $75,000",Independent,4,Michigan,"Yes, it will"
medicinal,Yes,Agnostic (not sure if there is a God),Male,23,Some College,White,"$150,000 or more",Independent,3,Pennsylvania,"Yes, it will"
notlegal,Yes,Roman Catholic (Catholic),Male,55,Four year college,White,"50 to under $75,000",Republican,4,New York,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,60,HS,White,"50 to under $75,000",Democrat,2,Pennsylvania,"Yes, it will"
personal,No,Roman Catholic (Catholic),Female,71,Some College,White,"20 to under $30,000",Independent,2,Michigan,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Male,63,Four year college,White,"$150,000 or more",Democrat,2,Maryland,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,44,Postgraduate Degree,White,"100 to under $150,000",Republican,3,South Carolina,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,48,Four year college,Black or African-American,"$150,000 or more",Democrat,4,North Carolina,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,57,Four year college,White,"$150,000 or more",Republican,2,New Jersey,"No, it will not"
medicinal,Yes,Roman Catholic (Catholic),Male,64,HS,White,"$150,000 or more",Republican,2,Ohio,"Yes, it will"
personal,No,"Orthodox (Greek, Russian, or some other orthodox church)",Male,70,Four year college,White,"50 to under $75,000",Republican,1,Tennessee,"Yes, it will"
personal,Yes,Nothing in particular,Male,28,Four year college,White,"75 to under $100,000",Democrat,2,New York,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,43,Four year college,White,"$150,000 or more",Republican,6,Indiana,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,66,Postgraduate Degree,White,"100 to under $150,000",Independent,2,New York,"Yes, it will"
medicinal,No,Christian (VOL.),Male,74,HS,White,"20 to under $30,000",Independent,1,Pennsylvania,"Yes, it will"
medicinal,Yes,Christian (VOL.),Male,35,HS,White,"100 to under $150,000",Independent,1,Ohio,"Yes, it will"
personal,Yes,Nothing in particular,Female,61,Four year college,White,"20 to under $30,000",Democrat,1,New York,"Yes, it will"
medicinal,No,Jewish (Judaism),Female,60,HS,White,"Less than $10,000",Democrat,1,Pennsylvania,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,84,Postgraduate Degree,White,"50 to under $75,000",Independent,1,Georgia,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,69,HS,Black or African-American,"40 to under $50,000",Democrat,2,Ohio,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Female,65,Some Postgraduate,Black or African-American,"10 to under $20,000",Democrat,2,New Jersey,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,64,Associate Degree,White,"50 to under $75,000",Independent,2,North Carolina,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,59,HS,White,"10 to under $20,000",Democrat,2,Massachusetts,"Yes, it will"
medicinal,No,Hindu,Male,43,Four year college,Asian or Asian-American,"50 to under $75,000",Independent,3,Georgia,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,66,Some Postgraduate,White,"$150,000 or more",Republican,2,New Jersey,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,40,Four year college,White,"$150,000 or more",Democrat,5,Pennsylvania,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,67,HS,White,"$150,000 or more",Democrat,2,Ohio,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,71,Four year college,White,"30 to under $40,000",Republican,3,Connecticut,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,68,HS,White,"Less than $10,000",Republican,2,Georgia,"No, it will not"
medicinal,Yes,Nothing in particular,Male,41,Associate Degree,White,"$150,000 or more",Republican,4,Pennsylvania,"Yes, it will"
personal,Yes,Jewish (Judaism),Male,52,Some College,White,"$150,000 or more",Independent,4,New Hampshire,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,72,Four year college,White,"40 to under $50,000",Democrat,4,New York,"Yes, it will"
notlegal,No,Nothing in particular,Female,66,Four year college,White,"20 to under $30,000",Independent,1,Pennsylvania,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,83,Some College,White,"30 to under $40,000",Independent,1,West Virginia,"Yes, it will"
medicinal,No,"Orthodox (Greek, Russian, or some other orthodox church)",Female,71,Some College,White,"50 to under $75,000",Independent,3,Florida,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,82,Less than HS,White,"10 to under $20,000",Independent,1,North Carolina,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,61,Postgraduate Degree,White,"50 to under $75,000",Other party (VOL.),6,Ohio,"Yes, it will"
personal,No,Roman Catholic (Catholic),Female,40,Postgraduate Degree,White,"$150,000 or more",Republican,4,Maryland,"Yes, it will"
personal,No,Nothing in particular,Male,28,HS,Black or African-American,"75 to under $100,000",Democrat,1,New York,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,72,Some College,White,"40 to under $50,000",Independent,1,Arkansas,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,72,Some College,White,"30 to under $40,000",Republican,2,Wisconsin,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,60,Some Postgraduate,Black or African-American,"100 to under $150,000",Democrat,2,Georgia,"No, it will not"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,52,HS,White,"100 to under $150,000",Republican,2,Mississippi,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Male,67,Some College,White,"50 to under $75,000",Independent,2,Missouri,"Yes, it will"
notlegal,No,Christian (VOL.),Female,62,Less than HS,White,"10 to under $20,000",Independent,2,Virginia,"No, it will not"
personal,Yes,Nothing in particular,Female,52,Associate Degree,White,"30 to under $40,000",Independent,4,New York,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,37,Associate Degree,White,"100 to under $150,000",Republican,3,Michigan,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,84,Some Postgraduate,White,"100 to under $150,000",Independent,1,Tennessee,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,50,Some College,White,"50 to under $75,000",Independent,4,Connecticut,"No, it will not"
personal,Yes,Christian (VOL.),Female,49,Associate Degree,White,"50 to under $75,000",Independent,2,Missouri,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,70,Associate Degree,White,"75 to under $100,000",Democrat,4,Ohio,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,62,Four year college,White,"40 to under $50,000",Republican,3,Pennsylvania,"Yes, it will"
personal,No,Nothing in particular,Male,39,Some College,White,"20 to under $30,000",Democrat,4,Missouri,"Yes, it will"
medicinal,No,Christian (VOL.),Male,73,Four year college,White,"40 to under $50,000",Independent,1,Pennsylvania,"No, it will not"
personal,Yes,Nothing in particular,Female,70,Four year college,White,"20 to under $30,000",Independent,2,Arizona,"Yes, it will"
medicinal,No,Agnostic (not sure if there is a God),Female,87,Postgraduate Degree,White,"50 to under $75,000",Democrat,1,Maryland,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,33,Associate Degree,White,"30 to under $40,000",Republican,2,Georgia,"Yes, it will"
notlegal,Yes,Jewish (Judaism),Male,80,Less than HS,White,"20 to under $30,000",Independent,2,Kansas,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,44,HS Incomplete,White,"Less than $10,000",Independent,5,Texas,"Yes, it will"
medicinal,No,Christian (VOL.),Female,71,Four year college,White,"50 to under $75,000",Republican,2,Georgia,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,78,Four year college,White,"$150,000 or more",Republican,2,Virginia,"Yes, it will"
