firm,year,value,capital,inv
American Steel,1940,69.157,62.243,4.68
American Steel,1941,60.148,63.361,5.732
American Steel,1942,49.332,64.861,12.117
American Steel,1943,75.18,67.953,15.276
American Steel,1944,62.05,69.59,9.275
American Steel,1945,59.152,69.144,9.577
American Steel,1946,68.424,70.269,3.956
American Steel,1947,48.505,71.051,3.834
American Steel,1948,40.507,71.508,5.97
American Steel,1949,39.961,73.827,6.433
American Steel,1950,36.494,75.847,4.77
American Steel,1951,46.082,77.367,6.532
American Steel,1952,57.616,78.631,7.329
American Steel,1953,57.441,80.215,9.02
American Steel,1954,47.165,83.788,6.281
